# /dev/cpu_dma_latency set to 0us
# Histogram
000000 000000	000000	000000	000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000	000000	000000	000000
000002 000004	000000	000059	000024	000000	000374	000001	000003
000003 664617	451695	821229	368385	306689	1294041	270855	739534
000004 968805	1176612	810292	1148290	1308137	356815	1153837	896959
000005 053306	056624	057704	160792	065151	050126	248059	053631
000006 046273	046932	047333	047676	046578	045076	048624	045359
000007 037617	039004	036490	040168	039390	031710	041465	036519
000008 014048	015072	012575	019600	017643	009983	021526	013567
000009 007012	006349	006468	006763	007023	005944	006895	006973
000010 004863	004326	004406	004495	004959	003656	004499	004403
000011 002670	002478	002392	002819	003242	001676	002987	002344
000012 000272	000434	000331	000547	000634	000080	000763	000222
000013 000017	000021	000146	000024	000029	000015	000033	000028
000014 000017	000018	000096	000010	000016	000015	000023	000013
000015 000014	000005	000020	000010	000015	000006	000010	000007
000016 000011	000014	000005	000008	000007	000004	000011	000008
000017 000005	000005	000011	000007	000008	000008	000008	000005
000018 000010	000002	000014	000006	000007	000006	000003	000006
000019 000006	000007	000008	000004	000007	000006	000007	000009
000020 000008	000007	000004	000009	000014	000008	000009	000010
000021 000008	000002	000003	000009	000003	000012	000005	000002
000022 000004	000004	000006	000004	000009	000004	000008	000005
000023 000005	000002	000009	000003	000005	000008	000007	000007
000024 000003	000006	000000	000006	000006	000006	000005	000008
000025 000007	000009	000002	000004	000007	000010	000002	000004
000026 000003	000011	000005	000003	000015	000008	000010	000012
000027 000009	000008	000003	000007	000010	000007	000004	000004
000028 000009	000004	000009	000004	000013	000002	000008	000009
000029 000004	000007	000006	000006	000005	000009	000006	000004
000030 000008	000007	000007	000007	000012	000011	000004	000006
000031 000002	000005	000003	000004	000006	000011	000013	000005
000032 000003	000007	000004	000004	000006	000011	000005	000008
000033 000008	000009	000003	000006	000011	000006	000004	000007
000034 000012	000006	000008	000008	000006	000004	000006	000004
000035 000005	000006	000005	000005	000004	000009	000006	000005
000036 000004	000005	000008	000006	000009	000003	000000	000003
000037 000005	000005	000008	000005	000008	000006	000005	000005
000038 000005	000004	000006	000006	000010	000009	000002	000006
000039 000009	000003	000009	000003	000008	000005	000005	000006
000040 000005	000002	000002	000006	000005	000012	000011	000004
000041 000010	000003	000009	000003	000002	000005	000010	000009
000042 000008	000005	000006	000007	000003	000010	000006	000003
000043 000013	000007	000006	000008	000003	000008	000006	000007
000044 000007	000006	000003	000004	000007	000004	000007	000006
000045 000008	000004	000003	000005	000007	000009	000005	000006
000046 000009	000004	000003	000002	000005	000010	000005	000007
000047 000008	000004	000005	000005	000005	000006	000003	000005
000048 000004	000005	000004	000006	000005	000006	000006	000005
000049 000004	000004	000007	000005	000007	000005	000003	000003
000050 000003	000010	000003	000002	000002	000005	000004	000004
000051 000002	000001	000004	000002	000007	000005	000002	000003
000052 000006	000001	000007	000002	000004	000005	000003	000004
000053 000004	000006	000004	000001	000001	000003	000000	000004
000054 000003	000002	000004	000005	000003	000005	000004	000003
000055 000004	000007	000006	000001	000001	000001	000001	000005
000056 000006	000002	000006	000004	000006	000007	000002	000005
000057 000005	000007	000006	000002	000004	000004	000004	000005
000058 000003	000006	000003	000005	000004	000005	000004	000002
000059 000004	000002	000003	000002	000004	000005	000003	000005
000060 000002	000003	000005	000006	000002	000003	000003	000003
000061 000007	000004	000005	000003	000008	000009	000003	000005
000062 000006	000004	000003	000006	000005	000002	000002	000002
000063 000004	000003	000003	000004	000005	000005	000004	000002
000064 000002	000006	000006	000000	000003	000003	000007	000010
000065 000004	000001	000004	000002	000002	000007	000007	000002
000066 000001	000001	000006	000006	000001	000004	000002	000008
000067 000002	000003	000005	000001	000005	000005	000000	000005
000068 000004	000002	000006	000005	000003	000001	000005	000006
000069 000001	000005	000005	000000	000005	000004	000001	000005
