# /dev/cpu_dma_latency set to 0us
# Histogram
000000 000000	000000	000000	000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000	000000	000000	000000
000003 000000	000000	000000	000000	000000	000000	000000	000000
000004 000000	000000	000000	000000	000001	000000	000000	000000
000005 003897	008518	006325	009122	009687	002156	007817	003025
000006 016648	030487	016329	037109	055243	010654	116578	016006
000007 631946	821389	634987	817403	972280	589716	555509	621926
000008 890823	716489	773723	669543	554939	891675	195814	914923
000009 107904	094261	217797	133704	081917	179058	703742	098539
000010 068988	065450	078167	069749	063681	065323	170443	065953
000011 047929	040919	046482	041642	039574	034933	025450	046863
000012 016797	011672	016138	012259	011606	012737	011046	016646
000013 007125	005283	005285	004819	005861	006702	006198	007607
000014 004526	003413	002842	002779	003296	004324	004357	004936
000015 002422	001495	001261	001155	001293	002033	002339	002627
000016 000385	000197	000187	000270	000134	000278	000392	000449
000017 000057	000042	000039	000079	000026	000037	000036	000057
000018 000061	000020	000030	000037	000027	000024	000023	000042
000019 000030	000014	000015	000015	000011	000018	000015	000025
000020 000028	000006	000015	000012	000006	000004	000004	000013
000021 000015	000008	000006	000005	000006	000007	000008	000003
000022 000013	000001	000005	000003	000005	000005	000002	000009
000023 000009	000004	000002	000008	000001	000004	000003	000002
000024 000010	000003	000006	000005	000000	000001	000003	000004
000025 000004	000005	000001	000003	000000	000003	000002	000002
000026 000004	000001	000000	000002	000000	000004	000001	000005
000027 000002	000002	000002	000001	000000	000002	000001	000001
000028 000004	000002	000001	000002	000000	000002	000002	000002
000029 000006	000004	000003	000002	000000	000003	000004	000004
000030 000002	000002	000000	000000	000000	000003	000003	000001
000031 000001	000005	000002	000001	000000	000002	000002	000003
000032 000000	000000	000003	000002	000002	000002	000000	000001
000033 000001	000001	000002	000003	000003	000003	000002	000003
000034 000002	000004	000002	000001	000003	000003	000001	000001
000035 000001	000004	000004	000004	000005	000005	000001	000004
000036 000003	000003	000003	000001	000006	000002	000001	000004
000037 000001	000002	000001	000001	000005	000003	000001	000002
000038 000001	000002	000002	000002	000003	000006	000000	000001
000039 000003	000001	000003	000001	000002	000005	000000	000004
000040 000001	000001	000001	000001	000002	000001	000000	000002
000041 000001	000003	000001	000004	000004	000001	000000	000000
000042 000001	000003	000000	000001	000001	000003	000001	000004
000043 000004	000002	000002	000002	000005	000002	000000	000000
000044 000003	000002	000003	000001	000002	000001	000001	000002
000045 000003	000003	000001	000000	000003	000000	000000	000001
000046 000002	000000	000003	000000	000003	000000	000001	000005
000047 000001	000001	000000	000002	000003	000003	000001	000002
000048 000000	000000	000003	000002	000001	000000	000000	000001
000049 000001	000001	000003	000002	000000	000001	000000	000001
000050 000001	000002	000001	000001	000002	000001	000001	000001
000051 000001	000000	000002	000001	000002	000002	000002	000000
000052 000004	000000	000004	000002	000000	000001	000001	000002
000053 000002	000000	000001	000000	000002	000001	000003	000003
000054 000002	000000	000000	000000	000002	000001	000000	000002
000055 000000	000000	000001	000002	000002	000001	000000	000001
000056 000002	000000	000000	000000	000003	000001	000000	000004
000057 000002	000000	000004	000000	000000	000004	000001	000002
000058 000001	000003	000000	000001	000001	000001	000000	000002
000059 000000	000000	000000	000001	000004	000001	000002	000000
000060 000003	000004	000000	000003	000001	000000	000000	000001
000061 000001	000000	000001	000001	000003	000000	000000	000003
000062 000001	000002	000001	000003	000000	000000	000001	000001
000063 000000	000005	000001	000001	000001	000001	000000	000003
000064 000000	000002	000001	000002	000005	000002	000001	000003
000065 000000	000000	000001	000003	000000	000001	000000	000002
000066 000000	000002	000000	000003	000005	000002	000001	000005
000067 000000	000004	000001	000003	000000	000001	000002	000001
000068 000002	000001	000000	000001	000001	000001	000001	000001
000069 000003	000004	000000	000001	000002	000000	000001	000001
